BANDID,MAC1,IP1,PORT1,MAC2,IP2,PORT2,MAC3,IP3,PORT3,MAC4,IP4,PORT4,MAC5,IP5,PORT5,MAC6,IP6,PORT6,MAC7,IP7,PORT7,MAC8,IP8,PORT8,MAC9,IP9,PORT9,MAC10,IP10,PORT10,MAC11,IP11,PORT11,MAC12,IP12,PORT12,MAC13,IP13,PORT13,MAC14,IP14,PORT14,MAC15,IP15,PORT15,MAC16,IP16,PORT16,MAC17,IP17,PORT17,MAC18,IP18,PORT18,MAC19,IP19,PORT19,MAC20,IP20,PORT20,MAC21,IP21,PORT21,MAC22,IP22,PORT22,MAC23,IP23,PORT23,MAC24,IP24,PORT24,MAC25,IP25,PORT25,MAC26,IP26,PORT26,MAC27,IP27,PORT27,MAC28,IP28,PORT28,MAC29,IP29,PORT29,MAC30,IP30,PORT30,MAC31,IP31,PORT31,MAC32,IP32,PORT32,MAC33,IP33,PORT33,MAC34,IP34,PORT34,MAC35,IP35,PORT35,MAC36,IP36,PORT36
26,0x7cfe90c0c930,10.17.0.1,17101,0x7cfe90c0c930,10.17.0.1,17104,0x7cfe90c0cc10,10.17.0.2,17101,0x7cfe90c0cc10,10.17.0.2,17104,0x7cfe90c0ca60,10.17.1.1,17101,0x7cfe90c0ca60,10.17.1.1,17104,0x7cfe90c0cd50,10.17.1.2,17101,0x7cfe90c0cd50,10.17.1.2,17104,0x7cfe90c0cce1,10.17.2.1,17101,0x7cfe90c0cce1,10.17.2.1,17104,0x7cfe90c0cc20,10.17.2.2,17101,0x7cfe90c0cc20,10.17.2.2,17104,0x7cfe90c0cd40,10.17.3.1,17101,0x7cfe90c0cd40,10.17.3.1,17104,0x7cfe90c0cd60,10.17.3.2,17101,0x7cfe90c0cd60,10.17.3.2,17104,0x7cfe90c0cc00,10.17.4.1,17101,0x7cfe90c0cc00,10.17.4.1,17104,0x7cfe90c0cbf0,10.17.4.2,17101,0x7cfe90c0cbf0,10.17.4.2,17104,0x248a07e26090,10.17.5.1,17101,0x248a07e26090,10.17.5.1,17104,0x248a07e1a330,10.17.5.2,17101,0x248a07e1a330,10.17.5.2,17104,0x248a07e25e30,10.17.6.1,17101,0x248a07e25e30,10.17.6.1,17104,0x248a07e25f40,10.17.6.2,17101,0x248a07e25f40,10.17.6.2,17104,0x248a07e1b580,10.17.7.1,17101,0x248a07e1b580,10.17.7.1,17104,0x248a07e260b0,10.17.7.2,17101,0x248a07e260b0,10.17.7.2,17104,0x248a07e25a50,10.17.8.1,17101,0x248a07e25a50,10.17.8.1,17104,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
27,0x7cfe90c0c930,10.17.0.1,17101,0x7cfe90c0c930,10.17.0.1,17104,0x7cfe90c0cc10,10.17.0.2,17101,0x7cfe90c0cc10,10.17.0.2,17104,0x7cfe90c0ca60,10.17.1.1,17101,0x7cfe90c0ca60,10.17.1.1,17104,0x7cfe90c0cd50,10.17.1.2,17101,0x7cfe90c0cd50,10.17.1.2,17104,0x7cfe90c0cce1,10.17.2.1,17101,0x7cfe90c0cce1,10.17.2.1,17104,0x7cfe90c0cc20,10.17.2.2,17101,0x7cfe90c0cc20,10.17.2.2,17104,0x7cfe90c0cd40,10.17.3.1,17101,0x7cfe90c0cd40,10.17.3.1,17104,0x7cfe90c0cd60,10.17.3.2,17101,0x7cfe90c0cd60,10.17.3.2,17104,0x7cfe90c0cc00,10.17.4.1,17101,0x7cfe90c0cc00,10.17.4.1,17104,0x7cfe90c0cbf0,10.17.4.2,17101,0x7cfe90c0cbf0,10.17.4.2,17104,0x248a07e26090,10.17.5.1,17101,0x248a07e26090,10.17.5.1,17104,0x248a07e1a330,10.17.5.2,17101,0x248a07e1a330,10.17.5.2,17104,0x248a07e25e30,10.17.6.1,17101,0x248a07e25e30,10.17.6.1,17104,0x248a07e25f40,10.17.6.2,17101,0x248a07e25f40,10.17.6.2,17104,0x248a07e1b580,10.17.7.1,17101,0x248a07e1b580,10.17.7.1,17104,0x248a07e260b0,10.17.7.2,17101,0x248a07e260b0,10.17.7.2,17104,0x248a07e25a50,10.17.8.1,17101,0x248a07e25a50,10.17.8.1,17104,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
28,0x7cfe90c0c930,10.17.0.1,17101,0x7cfe90c0c930,10.17.0.1,17104,0x7cfe90c0cc10,10.17.0.2,17101,0x7cfe90c0cc10,10.17.0.2,17104,0x7cfe90c0ca60,10.17.1.1,17101,0x7cfe90c0ca60,10.17.1.1,17104,0x7cfe90c0cd50,10.17.1.2,17101,0x7cfe90c0cd50,10.17.1.2,17104,0x7cfe90c0cce1,10.17.2.1,17101,0x7cfe90c0cce1,10.17.2.1,17104,0x7cfe90c0cc20,10.17.2.2,17101,0x7cfe90c0cc20,10.17.2.2,17104,0x7cfe90c0cd40,10.17.3.1,17101,0x7cfe90c0cd40,10.17.3.1,17104,0x7cfe90c0cd60,10.17.3.2,17101,0x7cfe90c0cd60,10.17.3.2,17104,0x7cfe90c0cc00,10.17.4.1,17101,0x7cfe90c0cc00,10.17.4.1,17104,0x7cfe90c0cbf0,10.17.4.2,17101,0x7cfe90c0cbf0,10.17.4.2,17104,0x248a07e26090,10.17.5.1,17101,0x248a07e26090,10.17.5.1,17104,0x248a07e1a330,10.17.5.2,17101,0x248a07e1a330,10.17.5.2,17104,0x248a07e25e30,10.17.6.1,17101,0x248a07e25e30,10.17.6.1,17104,0x248a07e25f40,10.17.6.2,17101,0x248a07e25f40,10.17.6.2,17104,0x248a07e1b580,10.17.7.1,17101,0x248a07e1b580,10.17.7.1,17104,0x248a07e260b0,10.17.7.2,17101,0x248a07e260b0,10.17.7.2,17104,0x248a07e25a50,10.17.8.1,17101,0x248a07e25a50,10.17.8.1,17104,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
29,0x7cfe90c0c930,10.17.0.1,17101,0x7cfe90c0c930,10.17.0.1,17104,0x7cfe90c0cc10,10.17.0.2,17101,0x7cfe90c0cc10,10.17.0.2,17104,0x7cfe90c0ca60,10.17.1.1,17101,0x7cfe90c0ca60,10.17.1.1,17104,0x7cfe90c0cd50,10.17.1.2,17101,0x7cfe90c0cd50,10.17.1.2,17104,0x7cfe90c0cce1,10.17.2.1,17101,0x7cfe90c0cce1,10.17.2.1,17104,0x7cfe90c0cc20,10.17.2.2,17101,0x7cfe90c0cc20,10.17.2.2,17104,0x7cfe90c0cd40,10.17.3.1,17101,0x7cfe90c0cd40,10.17.3.1,17104,0x7cfe90c0cd60,10.17.3.2,17101,0x7cfe90c0cd60,10.17.3.2,17104,0x7cfe90c0cc00,10.17.4.1,17101,0x7cfe90c0cc00,10.17.4.1,17104,0x7cfe90c0cbf0,10.17.4.2,17101,0x7cfe90c0cbf0,10.17.4.2,17104,0x248a07e26090,10.17.5.1,17101,0x248a07e26090,10.17.5.1,17104,0x248a07e1a330,10.17.5.2,17101,0x248a07e1a330,10.17.5.2,17104,0x248a07e25e30,10.17.6.1,17101,0x248a07e25e30,10.17.6.1,17104,0x248a07e25f40,10.17.6.2,17101,0x248a07e25f40,10.17.6.2,17104,0x248a07e1b580,10.17.7.1,17101,0x248a07e1b580,10.17.7.1,17104,0x248a07e260b0,10.17.7.2,17101,0x248a07e260b0,10.17.7.2,17104,0x248a07e25a50,10.17.8.1,17101,0x248a07e25a50,10.17.8.1,17104,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
30,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
31,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
32,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
33,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
34,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
35,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
36,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
37,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
38,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
39,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
40,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
41,0x7cfe90c0c930,10.17.0.1,17102,0x7cfe90c0c930,10.17.0.1,17105,0x7cfe90c0cc10,10.17.0.2,17102,0x7cfe90c0cc10,10.17.0.2,17105,0x7cfe90c0ca60,10.17.1.1,17102,0x7cfe90c0ca60,10.17.1.1,17105,0x7cfe90c0cd50,10.17.1.2,17102,0x7cfe90c0cd50,10.17.1.2,17105,0x7cfe90c0cce1,10.17.2.1,17102,0x7cfe90c0cce1,10.17.2.1,17105,0x7cfe90c0cc20,10.17.2.2,17102,0x7cfe90c0cc20,10.17.2.2,17105,0x7cfe90c0cd40,10.17.3.1,17102,0x7cfe90c0cd40,10.17.3.1,17105,0x7cfe90c0cd60,10.17.3.2,17102,0x7cfe90c0cd60,10.17.3.2,17105,0x7cfe90c0cc00,10.17.4.1,17102,0x7cfe90c0cc00,10.17.4.1,17105,0x7cfe90c0cbf0,10.17.4.2,17102,0x7cfe90c0cbf0,10.17.4.2,17105,0x248a07e26090,10.17.5.1,17102,0x248a07e26090,10.17.5.1,17105,0x248a07e1a330,10.17.5.2,17102,0x248a07e1a330,10.17.5.2,17105,0x248a07e25e30,10.17.6.1,17102,0x248a07e25e30,10.17.6.1,17105,0x248a07e25f40,10.17.6.2,17102,0x248a07e25f40,10.17.6.2,17105,0x248a07e1b580,10.17.7.1,17102,0x248a07e1b580,10.17.7.1,17105,0x248a07e260b0,10.17.7.2,17102,0x248a07e260b0,10.17.7.2,17105,0x248a07e25a50,10.17.8.1,17102,0x248a07e25a50,10.17.8.1,17105,0x020000000000,00.00.0.0,00000,0x020000000000,00.00.0.0,00000
